company,job_title,location,company_size,company_type,company_sector,company_industry,company_revenue,job_simpl,seniority,state,salary_estimate,company_founded,hourly,rating,python_yn,spark_yn,azure_yn,aws_yn,excel_yn,machine_learning_yn,description_len,company_age,size,type,sector,revenue,zone
TikTok,"Data Scientist, University Graduate - 2023 Start (BS/MS)","Mountain View, CA",1001 to 5000 Employees,Company - Private,Information Technology,Internet & Web Services,Unknown / Non-Applicable,data scientist,Senior,CA,138475.0,2016.0,0.0,3.6,1.0,0.0,0.0,0.0,0.0,1.0,616.0,6.0,Large company,Company - Private,IT and Telecommunications,Unknown / Non-Applicable,Western
Ancestry,"Data Scientist, CV/NLP","San Francisco, CA",1001 to 5000 Employees,Company - Private,Information Technology,Internet & Web Services,$1 to $5 billion (USD),data scientist,Senior,CA,129500.0,1985.0,0.0,3.7,1.0,0.0,0.0,1.0,1.0,1.0,606.0,37.0,Large company,Company - Private,IT and Telecommunications,$1 to $10 billion (USD),Western
Lawrence Livermore National Laboratory,Data Scientist - Entry Level,"Livermore, CA",5001 to 10000 Employees,Government,Government & Public Administration,National Agencies,$1 to $5 billion (USD),data scientist,junior,CA,121209.0,1952.0,0.0,4.4,1.0,0.0,0.0,1.0,0.0,1.0,910.0,70.0,Large company,Other institutions,Other sectors,$1 to $10 billion (USD),Western
Barclays,Data Scientist,"New York, NY",10000+ Employees,Company - Public,Financial Services,Banking & Lending,$10+ billion (USD),data scientist,Senior,NY,185000.0,1690.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,561.0,332.0,Huge company,Company - Public,Financial and housing services,$10+ billion (USD),Northeastern
Dianthus,Data Scientist,"New York, NY",Unknown,Company - Private,Information Technology,Internet & Web Services,Unknown / Non-Applicable,data scientist,Senior,NY,124335.0,1995.7,0.0,3.3,1.0,0.0,1.0,0.0,1.0,1.0,238.0,26.3,Unknown size,Company - Private,IT and Telecommunications,Unknown / Non-Applicable,Northeastern
BlueConduit,Data Scientist,Remote,1 to 50 Employees,Company - Private,Information Technology,Computer Hardware Development,$1 to $5 billion (USD),data scientist,Senior,Remote,105000.0,2019.0,0.0,4.6,1.0,0.0,0.0,0.0,1.0,1.0,393.0,3.0,Small company,Company - Private,IT and Telecommunications,$1 to $10 billion (USD),Remote
Verily,"Data Scientist, Viral Genomics","South San Francisco, CA",1001 to 5000 Employees,Subsidiary or Business Segment,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,Unknown / Non-Applicable,data scientist,Senior,CA,121382.0,2015.0,0.0,4.1,1.0,0.0,0.0,0.0,0.0,1.0,547.0,7.0,Large company,Other institutions,Healthcare,Unknown / Non-Applicable,Western
Experian,Tapad - Senior Data Scientist (Remote),"New York, NY",10000+ Employees,Company - Public,Management & Consulting,Research & Development,$5 to $10 billion (USD),data scientist,Senior,NY,114577.0,1980.0,0.0,4.3,1.0,1.0,0.0,0.0,0.0,1.0,912.0,42.0,Huge company,Company - Public,Business services,$1 to $10 billion (USD),Northeastern
I28 Technologies,Entry Level Data Scientist - Machine Learning Algorithms - 333322,"Wellston, OH",1 to 50 Employees,Company - Private,Financial Services,Accounting & Tax,Less than $1 million (USD),data scientist,junior,OH,67500.0,1971.5,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,105.0,50.5,Small company,Company - Private,Financial and housing services,Less than $5 million (USD),Midwestern
Ingress IT Solution,Data Scientist,Remote,1 to 50 Employees,Company - Private,Information Technology,Information Technology Support Services,$1 to $5 million (USD),data scientist,mid,Remote,74000.0,2012.0,1.0,4.2,0.0,0.0,0.0,0.0,0.0,1.0,57.0,10.0,Small company,Company - Private,IT and Telecommunications,Less than $5 million (USD),Remote
LPL Financial,Data Scientist,South Carolina,1001 to 5000 Employees,Company - Public,Financial Services,Investment & Asset Management,$1 to $5 billion (USD),data scientist,Senior,SC,113750.0,1968.0,0.0,3.9,1.0,0.0,0.0,0.0,0.0,0.0,328.0,54.0,Large company,Company - Public,Financial and housing services,$1 to $10 billion (USD),Southern
Net2Aspir,Jr. Data Scientist,Remote,Unknown,Company - Public,Unknown,Unknown,Unknown / Non-Applicable,data scientist,junior,Remote,72500.0,1950.0,0.0,3.9400000000000004,0.0,0.0,0.0,0.0,0.0,1.0,133.0,72.0,Unknown size,Company - Public,Unknown,Unknown / Non-Applicable,Remote
Snowflake,Data Scientist,"San Mateo, CA",1001 to 5000 Employees,Company - Public,Information Technology,Enterprise Software & Network Solutions,$1 to $5 billion (USD),data scientist,Senior,CA,175500.0,2012.0,0.0,4.3,1.0,0.0,0.0,0.0,1.0,0.0,355.0,10.0,Large company,Company - Public,IT and Telecommunications,$1 to $10 billion (USD),Western
Locus Robotics,"Data Scientist, Machine Learning","Wilmington, MA",201 to 500 Employees,Company - Private,Information Technology,Computer Hardware Development,Unknown / Non-Applicable,data scientist,Senior,MA,114397.0,2015.0,0.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,331.0,7.0,Medium-sized company,Company - Private,IT and Telecommunications,Unknown / Non-Applicable,Northeastern
MultiPlan Inc.,Data Scientist (remote),Remote,1001 to 5000 Employees,Company - Public,Healthcare,Health Care Services & Hospitals,Unknown / Non-Applicable,data scientist,mid,Remote,120000.0,1980.0,0.0,3.8,1.0,0.0,0.0,1.0,0.0,1.0,658.0,42.0,Large company,Company - Public,Healthcare,Unknown / Non-Applicable,Remote
YES Communities,Analyst - Junior Data Scientist,"Greenwood Village, CO",1001 to 5000 Employees,Company - Private,Real Estate,Real Estate,$100 to $500 million (USD),data analyst,junior,CO,87500.0,2008.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,417.0,14.0,Large company,Company - Private,Financial and housing services,$100 million to $1 billion (USD),Western
IKEA,Data Analyst,"Conshohocken, PA",10000+ Employees,Company - Private,Retail & Wholesale,Home Furniture & Housewares Stores,Unknown / Non-Applicable,data analyst,Senior,PA,91258.0,1943.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,403.0,79.0,Huge company,Company - Private,Other sectors,Unknown / Non-Applicable,Northeastern
Xcel Energy,Data Scientist,"Denver, CO",10000+ Employees,Company - Public,"Energy, Mining & Utilities",Energy & Utilities,$10+ billion (USD),data scientist,Senior,CO,108667.0,1909.0,0.0,3.8,1.0,0.0,0.0,0.0,1.0,1.0,672.0,113.0,Huge company,Company - Public,Industry,$10+ billion (USD),Western
Olo,Data Scientist,"New York, NY",201 to 500 Employees,Company - Public,Information Technology,Enterprise Software & Network Solutions,Unknown / Non-Applicable,data scientist,Senior,NY,127500.0,2005.0,0.0,3.4,1.0,0.0,0.0,0.0,0.0,0.0,567.0,17.0,Medium-sized company,Company - Public,IT and Telecommunications,Unknown / Non-Applicable,Northeastern
Bayer,Sr Data Scientist-COE,"Creve Coeur, MO",10000+ Employees,Company - Public,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,$10+ billion (USD),data scientist,Senior,MO,116952.0,1863.0,0.0,4.2,0.0,0.0,0.0,0.0,1.0,1.0,587.0,159.0,Huge company,Company - Public,Healthcare,$10+ billion (USD),Midwestern
Etsy,"Data Scientist, Analytics","Brooklyn, NY",1001 to 5000 Employees,Company - Public,Retail & Wholesale,Other Retail Stores,$1 to $5 billion (USD),data scientist,Senior,NY,97000.0,2005.0,0.0,4.5,1.0,0.0,0.0,0.0,0.0,0.0,591.0,17.0,Large company,Company - Public,Other sectors,$1 to $10 billion (USD),Northeastern
National Security Agency,Data Scientist,"Fort Meade, MD",Unknown,Government,Government & Public Administration,National Agencies,Unknown / Non-Applicable,data scientist,Senior,MD,125491.0,1972.8,0.0,3.6,0.0,0.0,0.0,1.0,0.0,1.0,1138.0,49.2,Unknown size,Other institutions,Other sectors,Unknown / Non-Applicable,Southern
TikTok,"Data Scientist, University Graduate (Global E-commerce Risk Control)- 2023 Start (MS)","Seattle, WA",1001 to 5000 Employees,Company - Private,Information Technology,Internet & Web Services,Unknown / Non-Applicable,data scientist,Senior,WA,134155.0,2016.0,0.0,3.6,1.0,0.0,0.0,0.0,0.0,1.0,835.0,6.0,Large company,Company - Private,IT and Telecommunications,Unknown / Non-Applicable,Western
"Generation Genius, Inc",Data Scientist | For Educational Kids Science Company,Remote,1 to 50 Employees,Company - Private,Education,Education & Training Services,$1 to $5 billion (USD),data scientist,mid,Remote,105000.0,2017.0,0.0,4.529999999999999,0.0,1.0,0.0,0.0,0.0,0.0,197.0,5.0,Small company,Company - Private,Other sectors,$1 to $10 billion (USD),Remote
"University of California, Davis",CMPTL AND DATA SCI RSCH SPEC 3 (Research Data Scientist),"Davis, CA",10000+ Employees,College / University,Education,Colleges & Universities,$1 to $5 billion (USD),data scientist,Senior,CA,107800.0,1905.0,0.0,4.3,0.0,0.0,0.0,0.0,1.0,1.0,920.0,117.0,Huge company,Other institutions,Other sectors,$1 to $10 billion (USD),Western
The University of Chicago,Data Scientist,"Chicago, IL",10000+ Employees,College / University,Education,Colleges & Universities,$1 to $5 billion (USD),data scientist,Senior,IL,105228.0,1890.0,0.0,4.2,1.0,0.0,0.0,0.0,0.0,1.0,657.0,132.0,Huge company,Other institutions,Other sectors,$1 to $10 billion (USD),Midwestern
Stefanini Group,Data Scientist,Remote,10000+ Employees,Subsidiary or Business Segment,Information Technology,Information Technology Support Services,$1 to $5 billion (USD),data scientist,mid,Remote,97000.0,1987.0,1.0,3.7,1.0,0.0,1.0,1.0,0.0,1.0,433.0,35.0,Huge company,Other institutions,IT and Telecommunications,$1 to $10 billion (USD),Remote
New York Red Bulls,Data Scientist,"Whippany, NJ",10000+ Employees,Company - Private,Manufacturing,Food & Beverage Manufacturing,$5 to $10 billion (USD),data scientist,mid,NJ,107210.0,1987.0,0.0,4.3,1.0,0.0,0.0,0.0,1.0,0.0,419.0,35.0,Huge company,Company - Private,Industry,$1 to $10 billion (USD),Northeastern
NetSpend,"Senior Manager, Data Scientist",Remote,501 to 1000 Employees,Subsidiary or Business Segment,Financial Services,Financial Transaction Processing,$5 to $25 million (USD),data scientist,Senior,Remote,155000.0,1999.0,0.0,3.7,1.0,0.0,0.0,1.0,0.0,1.0,594.0,23.0,Large company,Other institutions,Financial and housing services,$5 to $100 million (USD),Remote
Coding Dojo,Data Scientist,Remote,51 to 200 Employees,Company - Private,Education,Education & Training Services,$5 to $25 million (USD),data scientist,mid,Remote,90000.0,2013.0,0.0,3.4,1.0,0.0,0.0,1.0,0.0,1.0,103.0,9.0,Medium-sized company,Company - Private,Other sectors,$5 to $100 million (USD),Remote
UT Southwestern Medical Center,"Data Scientist or Statistician, Postdoc",Remote,10000+ Employees,Hospital,Healthcare,Health Care Services & Hospitals,$1 to $5 billion (USD),data scientist,mid,Remote,93500.0,1943.0,0.0,3.9,1.0,0.0,0.0,0.0,0.0,1.0,275.0,79.0,Huge company,Other institutions,Healthcare,$1 to $10 billion (USD),Remote
CareCentrix,Healthcare Data Scientist,Remote,1001 to 5000 Employees,Company - Private,Healthcare,Health Care Services & Hospitals,$1 to $5 billion (USD),data scientist,Senior,Remote,100000.0,1996.0,0.0,3.3,1.0,0.0,0.0,0.0,0.0,1.0,356.0,26.0,Large company,Company - Private,Healthcare,$1 to $10 billion (USD),Remote
"VIZIO, Inc.",Data Scientist (Device Forecast),"Irvine, CA",1 to 50 Employees,Private Practice / Firm,Unknown,Unknown,Unknown / Non-Applicable,data scientist,Senior,CA,110000.0,1936.8,0.0,3.7,1.0,0.0,0.0,0.0,1.0,1.0,433.0,85.2,Small company,Other institutions,Unknown,Unknown / Non-Applicable,Western
HERSHEY MX,Senior Data Scientist,"Hershey, PA",10000+ Employees,Company - Public,Manufacturing,Food & Beverage Manufacturing,$5 to $10 billion (USD),data scientist,Senior,PA,104167.0,1894.0,0.0,3.9,1.0,1.0,1.0,1.0,1.0,1.0,700.0,128.0,Huge company,Company - Public,Industry,$1 to $10 billion (USD),Northeastern
Battelle,Data Scientist/Modeler I,"Dayton, OH",1001 to 5000 Employees,Nonprofit Organization,Management & Consulting,Research & Development,$5 to $10 billion (USD),data scientist,Senior,OH,95401.0,1929.0,0.0,3.8,1.0,0.0,0.0,1.0,0.0,0.0,752.0,93.0,Large company,Other institutions,Business services,$1 to $10 billion (USD),Midwestern
Booz Allen Hamilton,Machine Learning Data Scientist,"Alexandria, VA",10000+ Employees,Company - Public,Management & Consulting,Business Consulting,$5 to $10 billion (USD),data scientist,Senior,VA,126650.0,1914.0,0.0,4.2,1.0,0.0,1.0,1.0,0.0,1.0,610.0,108.0,Huge company,Company - Public,Business services,$1 to $10 billion (USD),Southern
Microsoft,Senior Data Scientist,"Redmond, WA",10000+ Employees,Company - Public,Information Technology,Computer Hardware Development,$10+ billion (USD),data scientist,Senior,WA,165200.0,1975.0,0.0,4.4,0.0,0.0,1.0,1.0,0.0,1.0,921.0,47.0,Huge company,Company - Public,IT and Telecommunications,$10+ billion (USD),Western
Rockstar Games,Lead Data Scientist: Game Analytics,Manhattan,1001 to 5000 Employees,Subsidiary or Business Segment,Media & Communication,Video Game Publishing,$5 to $25 million (USD),data scientist,Senior,NY,123637.0,1998.0,0.0,4.4,1.0,0.0,0.0,0.0,0.0,1.0,604.0,24.0,Large company,Other institutions,Media and Entertaiment,$5 to $100 million (USD),Northeastern
Connect Staffing and Consulting,"Data Scientist Palo Alto, CA or Remote","Palo Alto, CA",Unknown,Company - Private,Human Resources & Staffing,Staffing & Subcontracting,Unknown / Non-Applicable,data scientist,mid,CA,185000.0,1690.0,0.0,3.7,0.0,0.0,0.0,0.0,1.0,1.0,294.0,332.0,Unknown size,Company - Private,Business services,Unknown / Non-Applicable,Western
Crumbl Cookies,Senior Data Scientist,"Lindon, UT",201 to 500 Employees,Franchise,Restaurants & Food Service,Restaurants & Cafes,Unknown / Non-Applicable,data scientist,Senior,UT,116043.0,2017.0,0.0,4.6,1.0,0.0,0.0,1.0,1.0,1.0,541.0,5.0,Medium-sized company,Other institutions,Other sectors,Unknown / Non-Applicable,Western
Data Tecnica,Open opportunity: biomedical data scientist!,"Glen Echo, MD",Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,data scientist,mid,MD,135000.0,2001.6,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,277.0,20.4,Unknown size,Company - Private,Unknown,Unknown / Non-Applicable,Southern
The Brite Group,Jr Data Scientist / Programmer Analyst,Remote,1 to 50 Employees,Contract,Unknown,Unknown,Less than $1 million (USD),data analyst,junior,Remote,100000.0,1977.0,0.0,3.2,1.0,0.0,0.0,0.0,0.0,0.0,226.0,45.0,Small company,Other institutions,Unknown,Less than $5 million (USD),Remote
KAYAK,"Data Scientist, Marketing","Cambridge, MA",1001 to 5000 Employees,Subsidiary or Business Segment,Information Technology,Internet & Web Services,$100 to $500 million (USD),data scientist,Senior,MA,151851.0,2004.0,0.0,4.3,1.0,0.0,0.0,0.0,0.0,0.0,461.0,18.0,Large company,Other institutions,IT and Telecommunications,$100 million to $1 billion (USD),Northeastern
Starbucks,"data scientist, Operational Excellence - GSC","Seattle, WA",10000+ Employees,Company - Public,Restaurants & Food Service,Restaurants & Cafes,$10+ billion (USD),data scientist,Senior,WA,124950.0,1971.0,0.0,3.7,1.0,0.0,1.0,1.0,1.0,1.0,521.0,51.0,Huge company,Company - Public,Other sectors,$10+ billion (USD),Western
Stanford Health Care,Data Scientist,"Palo Alto, CA",10000+ Employees,Hospital,Healthcare,Health Care Services & Hospitals,$1 to $5 billion (USD),data scientist,Senior,CA,168560.0,1957.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,571.0,65.0,Huge company,Other institutions,Healthcare,$1 to $10 billion (USD),Western
Idaho National Laboratory,Data Scientist,"Idaho Falls, ID",201 to 500 Employees,Government,Management & Consulting,Research & Development,Unknown / Non-Applicable,data scientist,Senior,ID,107694.0,1955.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1245.0,67.0,Medium-sized company,Other institutions,Business services,Unknown / Non-Applicable,Western
Apolis,Data Scientist,Remote,501 to 1000 Employees,Company - Private,Information Technology,Information Technology Support Services,$25 to $100 million (USD),data scientist,mid,Remote,160000.0,1996.0,1.0,4.3,1.0,0.0,0.0,0.0,0.0,1.0,74.0,26.0,Large company,Company - Private,IT and Telecommunications,$5 to $100 million (USD),Remote
Largeton Inc,Data Scientist,Remote,1 to 50 Employees,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,data scientist,mid,Remote,135000.0,2006.4,1.0,3.5,1.0,0.0,0.0,0.0,0.0,1.0,137.0,15.6,Small company,Company - Private,Unknown,Unknown / Non-Applicable,Remote
University of California Berkeley,Data Scientist / Research Software Engineer (6104U) - 46408,"Berkeley, CA",51 to 200 Employees,Company - Public,Unknown,Unknown,Unknown / Non-Applicable,data scientist,Senior,CA,113000.0,1988.1,0.0,4.2,0.0,0.0,0.0,0.0,1.0,0.0,884.0,33.9,Medium-sized company,Company - Public,Unknown,Unknown / Non-Applicable,Western
"JPMorgan Chase Bank, N.A.",Data Scientist - Associate,"Jersey City, NJ",10000+ Employees,Company - Public,Financial Services,Banking & Lending,$10+ billion (USD),data scientist,junior,NJ,119750.0,1799.0,0.0,3.8,1.0,1.0,0.0,0.0,0.0,0.0,567.0,223.0,Huge company,Company - Public,Financial and housing services,$10+ billion (USD),Northeastern
Abiomed,Data Scientist,"Danvers, MA",1001 to 5000 Employees,Company - Public,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,$100 to $500 million (USD),data scientist,Senior,MA,106771.0,1981.0,0.0,3.6,1.0,0.0,1.0,1.0,1.0,1.0,389.0,41.0,Large company,Company - Public,Healthcare,$100 million to $1 billion (USD),Northeastern
RTI International,Data Scientist,"Durham, NC",5001 to 10000 Employees,Nonprofit Organization,Management & Consulting,Research & Development,$500 million to $1 billion (USD),data scientist,Senior,NC,86000.0,1958.0,0.0,4.1,1.0,0.0,0.0,1.0,0.0,1.0,844.0,64.0,Large company,Other institutions,Business services,$100 million to $1 billion (USD),Southern
the NBA,Senior Data Scientist,"New York, NY",1001 to 5000 Employees,Company - Private,"Arts, Entertainment & Recreation",Sports & Recreation,$5 to $10 billion (USD),data scientist,Senior,NY,157500.0,1946.0,0.0,4.1,1.0,0.0,0.0,0.0,0.0,1.0,552.0,76.0,Large company,Company - Private,Media and Entertaiment,$1 to $10 billion (USD),Northeastern
"WhirlWind Technologies, LLC",Jr. Data Scientist,Remote,1 to 50 Employees,Company - Public,Unknown,Unknown,$1 to $5 million (USD),data scientist,junior,Remote,98000.0,1843.1,0.0,4.8,1.0,1.0,0.0,0.0,1.0,1.0,472.0,178.9,Small company,Company - Public,Unknown,Less than $5 million (USD),Remote
MORSE Corp,Data Scientist,"Cambridge, MA",51 to 200 Employees,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,data scientist,mid,MA,99297.0,2014.0,0.0,4.7,1.0,0.0,0.0,0.0,0.0,1.0,314.0,8.0,Medium-sized company,Company - Private,Other sectors,Unknown / Non-Applicable,Northeastern
Rockstar Games,Associate Data Scientist: Web,Manhattan,1001 to 5000 Employees,Subsidiary or Business Segment,Media & Communication,Video Game Publishing,$5 to $25 million (USD),data scientist,junior,NY,112316.0,1998.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,1.0,640.0,24.0,Large company,Other institutions,Media and Entertaiment,$5 to $100 million (USD),Northeastern
General Motors,People Analytics Data Scientist,Remote,10000+ Employees,Company - Public,Manufacturing,Transportation Equipment Manufacturing,$10+ billion (USD),data scientist,Senior,Remote,116604.0,1908.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,876.0,114.0,Huge company,Company - Public,Industry,$10+ billion (USD),Remote
Steelcase,Data Scientist,"Grand Rapids, MI",10000+ Employees,Company - Public,Manufacturing,Consumer Product Manufacturing,$1 to $5 billion (USD),data scientist,Senior,MI,95602.0,1912.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,673.0,110.0,Huge company,Company - Public,Industry,$1 to $10 billion (USD),Midwestern
Augray,Junior Data Scientist,"Brookfield, WI",51 to 200 Employees,Subsidiary or Business Segment,Information Technology,Information Technology Support Services,Unknown / Non-Applicable,data scientist,junior,WI,57500.0,2014.0,0.0,4.1,1.0,0.0,0.0,0.0,0.0,1.0,439.0,8.0,Medium-sized company,Other institutions,IT and Telecommunications,Unknown / Non-Applicable,Midwestern
Vision IT Solutions In,Data Scientist,"Avenel, NJ",Unknown,Company - Public,Unknown,Unknown,Unknown / Non-Applicable,data scientist,mid,NJ,100000.0,1889.0,1.0,3.84,1.0,0.0,0.0,0.0,0.0,1.0,112.0,133.0,Unknown size,Company - Public,Unknown,Unknown / Non-Applicable,Northeastern
Super Dispatch,Data Scientist,Remote,51 to 200 Employees,Company - Private,Transportation & Logistics,Taxi & Car Services,Unknown / Non-Applicable,data scientist,Senior,Remote,110000.0,2015.0,0.0,4.6,1.0,0.0,0.0,1.0,0.0,1.0,396.0,7.0,Medium-sized company,Company - Private,Other sectors,Unknown / Non-Applicable,Remote
Tesla,NPI Data Scientist,"Austin, TX",10000+ Employees,Company - Public,Manufacturing,Transportation Equipment Manufacturing,$1 to $5 billion (USD),data scientist,Senior,TX,130223.0,2003.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,519.0,19.0,Huge company,Company - Public,Industry,$1 to $10 billion (USD),Southern
Audere,Data Scientist (Contract),"Seattle, WA",Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,data scientist,mid,WA,89714.0,2005.9,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,26.0,16.1,Unknown size,Company - Private,Unknown,Unknown / Non-Applicable,Western
Verizon,Data Scientist,"New York, NY",10000+ Employees,Company - Public,Telecommunications,Telecommunications Services,$10+ billion (USD),data scientist,Senior,NY,162500.0,2000.0,0.0,3.8,1.0,0.0,0.0,0.0,0.0,1.0,705.0,22.0,Huge company,Company - Public,IT and Telecommunications,$10+ billion (USD),Northeastern
Massachusetts General Hospital(MGH),Data Scientist,"Boston, MA",10000+ Employees,Hospital,Healthcare,Health Care Services & Hospitals,$1 to $5 billion (USD),data scientist,Senior,MA,109137.0,1811.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,382.0,211.0,Huge company,Other institutions,Healthcare,$1 to $10 billion (USD),Northeastern
Infinity Quest,Data Scientist,Remote,201 to 500 Employees,Company - Private,Information Technology,Information Technology Support Services,Unknown / Non-Applicable,data scientist,mid,Remote,140000.0,2006.0,1.0,4.3,1.0,1.0,1.0,1.0,0.0,1.0,199.0,16.0,Medium-sized company,Company - Private,IT and Telecommunications,Unknown / Non-Applicable,Remote
GTA (Global Technology Associates),Data Scientist,"Reston, VA",Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,data scientist,Senior,VA,99098.0,1966.0,0.0,4.4,1.0,0.0,0.0,1.0,0.0,0.0,439.0,56.0,Unknown size,Company - Private,Unknown,Unknown / Non-Applicable,Southern
Thumbtack,Senior Data Scientist,"San Francisco, CA",1001 to 5000 Employees,Company - Private,Information Technology,Internet & Web Services,Unknown / Non-Applicable,data scientist,Senior,CA,163697.0,2008.0,0.0,4.3,1.0,0.0,0.0,1.0,1.0,1.0,755.0,14.0,Large company,Company - Private,IT and Telecommunications,Unknown / Non-Applicable,Western
Yale University,Data Scientist,"New Haven, CT",10000+ Employees,Nonprofit Organization,Education,Colleges & Universities,$1 to $5 billion (USD),data scientist,Senior,CT,109360.0,1701.0,0.0,4.3,1.0,0.0,0.0,0.0,1.0,1.0,802.0,321.0,Huge company,Other institutions,Other sectors,$1 to $10 billion (USD),Northeastern
UC San Diego,Atmospheric Data Scientist,"San Diego, CA",10000+ Employees,College / University,Education,Colleges & Universities,Unknown / Non-Applicable,data scientist,junior,CA,83250.0,1960.0,0.0,4.2,1.0,0.0,0.0,0.0,1.0,0.0,677.0,62.0,Huge company,Other institutions,Other sectors,Unknown / Non-Applicable,Western
InSite Property Group,Data Scientist,Remote,1 to 50 Employees,Company - Public,Unknown,Unknown,Unknown / Non-Applicable,data scientist,Senior,Remote,130000.0,2018.6,0.0,4.4,1.0,0.0,0.0,1.0,0.0,0.0,394.0,3.4,Small company,Company - Public,Unknown,Unknown / Non-Applicable,Remote
Jacksonville Jaguars,Data Scientist,"Jacksonville, FL",201 to 500 Employees,Company - Private,"Arts, Entertainment & Recreation",Sports & Recreation,$5 to $25 million (USD),data scientist,Senior,FL,95647.0,1993.0,0.0,4.4,1.0,0.0,0.0,1.0,0.0,0.0,832.0,29.0,Medium-sized company,Company - Private,Media and Entertaiment,$5 to $100 million (USD),Southern
Revenue Management Solutions Llc,Data Scientist,"Oklahoma City, OK",1 to 50 Employees,Company - Private,Unknown,Unknown,$1 to $5 million (USD),data scientist,Senior,OK,88563.0,1910.3,0.0,2.4,1.0,0.0,0.0,0.0,1.0,0.0,310.0,111.7,Small company,Company - Private,Unknown,Less than $5 million (USD),Southern
GEICO,Senior Data Scientist (Remote),"Chevy Chase, MD",10000+ Employees,Subsidiary or Business Segment,Insurance,Insurance Carriers,$10+ billion (USD),data scientist,Senior,MD,110710.0,1936.0,0.0,3.2,1.0,0.0,0.0,0.0,1.0,1.0,671.0,86.0,Huge company,Other institutions,Financial and housing services,$10+ billion (USD),Southern
AppZen,Data Scientist - DS 3,"San Jose, CA",51 to 200 Employees,Company - Private,Financial Services,Financial Transaction Processing,$1 to $5 million (USD),data scientist,Senior,CA,165000.0,2012.0,0.0,3.8,1.0,0.0,0.0,0.0,1.0,1.0,365.0,10.0,Medium-sized company,Company - Private,Financial and housing services,Less than $5 million (USD),Western
Nemours,Research Data Scientist,"Wilmington, DE",1001 to 5000 Employees,Nonprofit Organization,Healthcare,Health Care Services & Hospitals,$1 to $5 billion (USD),data scientist,mid,DE,88174.0,1940.0,0.0,3.7,1.0,0.0,0.0,0.0,0.0,1.0,270.0,82.0,Large company,Other institutions,Healthcare,$1 to $10 billion (USD),Southern
Activision,Senior Data Scientist,"Santa Monica, CA",1001 to 5000 Employees,Subsidiary or Business Segment,Media & Communication,Video Game Publishing,$500 million to $1 billion (USD),data scientist,Senior,CA,132367.0,1979.0,0.0,3.5,1.0,0.0,1.0,1.0,0.0,1.0,795.0,43.0,Large company,Other institutions,Media and Entertaiment,$100 million to $1 billion (USD),Western
Wolverine Trading,Data Scientist / Quantitative Analyst,"Chicago, IL",201 to 500 Employees,Company - Private,Financial Services,Investment & Asset Management,$5 to $25 million (USD),data analyst,Senior,IL,109315.0,1994.0,0.0,4.4,1.0,0.0,0.0,0.0,1.0,0.0,535.0,28.0,Medium-sized company,Company - Private,Financial and housing services,$5 to $100 million (USD),Midwestern
Arkansas Center for Data Science,Junior Data Scientist Apprenticeship,"Little Rock, AR",1 to 50 Employees,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,data scientist,junior,AR,54281.0,1937.5,0.0,4.01,1.0,0.0,0.0,0.0,0.0,1.0,344.0,84.5,Small company,Company - Private,Unknown,Unknown / Non-Applicable,Southern
ReedTMS Logistics,Data Scientist,"Tampa, FL",201 to 500 Employees,Company - Private,Transportation & Logistics,Taxi & Car Services,Unknown / Non-Applicable,data scientist,Senior,FL,92816.0,1996.0,0.0,3.2,1.0,0.0,0.0,0.0,0.0,1.0,389.0,26.0,Medium-sized company,Company - Private,Other sectors,Unknown / Non-Applicable,Southern
Altamira,"Data Scientist, Jr.","Hurlburt Field, FL",201 to 500 Employees,Company - Private,Information Technology,Information Technology Support Services,$25 to $100 million (USD),data scientist,junior,FL,89347.0,2001.0,0.0,4.1,0.0,0.0,0.0,1.0,0.0,1.0,449.0,21.0,Medium-sized company,Company - Private,IT and Telecommunications,$5 to $100 million (USD),Southern
