company,job_title,location,company_size,company_type,company_sector,company_industry,company_revenue,job_simpl,seniority,state,salary_estimate,company_founded,hourly,rating,python_yn,spark_yn,azure_yn,aws_yn,excel_yn,machine_learning_yn,description_len,company_age,size,type,sector,revenue,zone
Fannie Mae,Cloud Data Engineer,"Washington, DC",5001 to 10000 Employees,Company - Public,Financial Services,Banking & Lending,$10+ billion (USD),data engineer,Senior,DC,103335.0,1938.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,669.0,84.0,Large company,Company - Public,Financial and housing services,$10+ billion (USD),Southern
Clairvoyant,Data Engineer,Remote,501 to 1000 Employees,Company - Private,Information Technology,Information Technology Support Services,Unknown / Non-Applicable,data engineer,Senior,Remote,130000.0,2012.0,0.0,4.2,1.0,0.0,0.0,1.0,0.0,0.0,219.0,10.0,Large company,Company - Private,IT and Telecommunications,Unknown / Non-Applicable,Remote
Brownells Inc.,Data Engineer,"Grinnell, IA",201 to 500 Employees,Company - Private,Retail & Wholesale,Sporting Goods Stores,Unknown / Non-Applicable,data engineer,Senior,IA,86265.0,1939.0,0.0,3.3,0.0,0.0,1.0,0.0,0.0,0.0,773.0,83.0,Medium-sized company,Company - Private,Other sectors,Unknown / Non-Applicable,Midwestern
Kairos Technologies Inc,Data Engineer--Remote(GC & US Citizens),Remote,51 to 200 Employees,Company - Private,Information Technology,Information Technology Support Services,$5 to $25 million (USD),data engineer,Senior,Remote,155000.0,2003.0,1.0,4.4,1.0,0.0,0.0,1.0,1.0,1.0,381.0,19.0,Medium-sized company,Company - Private,IT and Telecommunications,$5 to $100 million (USD),Remote
Zodiac Solutions,Data Engineer,Remote,1 to 50 Employees,Company - Private,Information Technology,Information Technology Support Services,$1 to $5 million (USD),data engineer,mid,Remote,127500.0,1977.9,0.0,3.7,1.0,0.0,0.0,1.0,0.0,0.0,123.0,44.1,Small company,Company - Private,IT and Telecommunications,Less than $5 million (USD),Remote
The Swift Group,Data Engineer,"McLean, VA",201 to 500 Employees,Company - Private,Information Technology,Information Technology Support Services,Unknown / Non-Applicable,data engineer,Senior,VA,107055.0,2019.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,473.0,3.0,Medium-sized company,Company - Private,IT and Telecommunications,Unknown / Non-Applicable,Southern
Albet Technologies LL,Data Engineer with Machine learning Exp.,Remote,Unknown,Company - Public,Unknown,Unknown,Unknown / Non-Applicable,data engineer,mid,Remote,109880.0,1982.0,1.0,2.8,0.0,1.0,0.0,0.0,0.0,1.0,137.0,40.0,Unknown size,Company - Public,Unknown,Unknown / Non-Applicable,Remote
RCLCO,Data Analyst,"Denver, CO",Unknown,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable,data analyst,Senior,CO,72500.0,1967.0,0.0,4.3,1.0,0.0,0.0,0.0,1.0,0.0,301.0,55.0,Unknown size,Company - Private,Financial and housing services,Unknown / Non-Applicable,Western
Carvana,Data Engineer (remote) - ADESA,"Carmel, IN",10000+ Employees,Company - Public,Retail & Wholesale,Other Retail Stores,Unknown / Non-Applicable,data engineer,Senior,IN,51672.0,2013.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,319.0,9.0,Huge company,Company - Public,Other sectors,Unknown / Non-Applicable,Midwestern
Medidata Solutions,Senior Data Engineer,"New York, NY",1001 to 5000 Employees,Subsidiary or Business Segment,Information Technology,Enterprise Software & Network Solutions,$500 million to $1 billion (USD),data engineer,Senior,NY,171289.0,1999.0,0.0,4.3,1.0,0.0,0.0,1.0,0.0,0.0,794.0,23.0,Large company,Other institutions,IT and Telecommunications,$100 million to $1 billion (USD),Northeastern
Precision Castparts Corp.,Data Engineer (IT),Remote,10000+ Employees,Company - Public,Manufacturing,Metal & Mineral Manufacturing,$5 to $10 billion (USD),data engineer,junior,Remote,85000.0,1953.0,0.0,3.2,1.0,0.0,1.0,1.0,0.0,1.0,425.0,69.0,Huge company,Company - Public,Industry,$1 to $10 billion (USD),Remote
Excelon Solutions,Hiring for Techno functional roles in data warehousing,Remote,Unknown,Company - Private,Information Technology,Information Technology Support Services,Unknown / Non-Applicable,data engineer,mid,Remote,137272.0,1988.4,0.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,189.0,33.6,Unknown size,Company - Private,IT and Telecommunications,Unknown / Non-Applicable,Remote
Vision IT Solutions In,Data Engineer,Texhoma,Unknown,Company - Public,Unknown,Unknown,Unknown / Non-Applicable,data engineer,mid,OK,105000.0,2009.5,1.0,4.59,1.0,0.0,0.0,0.0,0.0,0.0,89.0,12.5,Unknown size,Company - Public,Unknown,Unknown / Non-Applicable,Southern
Cushman & Wakefield,Data Engineer,"Chicago, IL",10000+ Employees,Company - Public,Real Estate,Real Estate,$5 to $10 billion (USD),data engineer,Senior,IL,94974.0,1917.0,0.0,3.7,0.0,0.0,1.0,0.0,0.0,0.0,499.0,105.0,Huge company,Company - Public,Financial and housing services,$1 to $10 billion (USD),Midwestern
Arcfield,Data Engineer,"Reston, VA",1001 to 5000 Employees,Company - Private,Aerospace & Defense,Aerospace & Defense,$500 million to $1 billion (USD),data engineer,Senior,VA,112436.0,2021.0,0.0,4.5,1.0,0.0,0.0,1.0,0.0,1.0,468.0,1.0,Large company,Company - Private,Other sectors,$100 million to $1 billion (USD),Southern
