job_simpl,seniority,size,type,sector,revenue,zone,salary_estimate,company_age,python_yn,spark_yn,azure_yn,aws_yn,excel_yn,machine_learning_yn
data scientist,Senior,Small company,Company - Private,IT and Telecommunications,Less than $5 million (USD),Remote,130000.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
data scientist,junior,Large company,Company - Private,Business services,$5 to $100 million (USD),Southern,100000.0,23.0,1.0,0.0,0.0,0.0,1.0,1.0
data scientist,Senior,Huge company,Other institutions,Other sectors,Unknown / Non-Applicable,Southern,110520.0,45.0,1.0,0.0,0.0,1.0,0.0,1.0
data scientist,mid,Unknown size,Other institutions,IT and Telecommunications,Unknown / Non-Applicable,Remote,190000.0,122.7,1.0,1.0,0.0,0.0,1.0,1.0
data scientist,mid,Huge company,Company - Public,Healthcare,$10+ billion (USD),Northeastern,80173.0,135.0,1.0,0.0,0.0,0.0,1.0,1.0
data scientist,Senior,Small company,Company - Private,Unknown,Unknown / Non-Applicable,Southern,95695.0,74.0,1.0,1.0,0.0,0.0,1.0,1.0
data scientist,Senior,Large company,Other institutions,Media and Entertaiment,$100 million to $1 billion (USD),Western,133699.0,43.0,1.0,1.0,0.0,0.0,0.0,0.0
data scientist,Senior,Large company,Company - Public,IT and Telecommunications,$1 to $10 billion (USD),Western,142470.0,25.0,1.0,0.0,0.0,0.0,0.0,1.0
data scientist,Senior,Medium-sized company,Company - Private,IT and Telecommunications,Less than $5 million (USD),Northeastern,130000.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0
data scientist,Senior,Medium-sized company,Company - Private,IT and Telecommunications,Unknown / Non-Applicable,Southern,89862.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0
data analyst,Senior,Huge company,Company - Public,Other sectors,Unknown / Non-Applicable,Midwestern,89838.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0
data scientist,Senior,Huge company,Company - Public,Industry,$10+ billion (USD),Midwestern,95490.0,119.0,1.0,0.0,0.0,0.0,1.0,0.0
data scientist,Senior,Huge company,Company - Public,IT and Telecommunications,$10+ billion (USD),Remote,191100.0,28.0,1.0,0.0,0.0,1.0,0.0,0.0
data scientist,Senior,Huge company,Company - Public,IT and Telecommunications,$10+ billion (USD),Remote,191100.0,28.0,1.0,0.0,0.0,1.0,0.0,0.0
data scientist,Senior,Huge company,Company - Public,Financial and housing services,$10+ billion (USD),Remote,144000.0,91.0,1.0,1.0,0.0,1.0,1.0,1.0
data scientist,Senior,Huge company,Company - Public,Business services,$10+ billion (USD),Southern,104846.0,33.0,1.0,0.0,0.0,0.0,0.0,1.0
data scientist,junior,Huge company,Other institutions,Other sectors,Unknown / Non-Applicable,Western,83250.0,62.0,1.0,0.0,0.0,0.0,1.0,0.0
data scientist,junior,Medium-sized company,Company - Private,IT and Telecommunications,Unknown / Non-Applicable,Northeastern,90061.0,12.0,1.0,0.0,0.0,0.0,0.0,1.0
data scientist,Senior,Small company,Company - Private,Unknown,Unknown / Non-Applicable,Remote,106961.0,67.6,1.0,0.0,0.0,0.0,0.0,1.0
data scientist,mid,Small company,Company - Private,Unknown,Unknown / Non-Applicable,Western,170000.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
data scientist,mid,Medium-sized company,Company - Private,IT and Telecommunications,Unknown / Non-Applicable,Remote,160000.0,11.0,1.0,0.0,0.0,0.0,1.0,0.0
data scientist,Senior,Large company,Other institutions,IT and Telecommunications,Unknown / Non-Applicable,Western,190000.0,122.7,1.0,0.0,0.0,0.0,1.0,1.0
data scientist,Senior,Small company,Company - Private,Media and Entertaiment,Less than $5 million (USD),Remote,113644.0,111.0,1.0,0.0,1.0,1.0,0.0,1.0
data scientist,Senior,Huge company,Company - Public,IT and Telecommunications,$10+ billion (USD),Southern,96449.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0
data scientist,junior,Large company,Other institutions,Other sectors,Unknown / Non-Applicable,Northeastern,102469.0,223.0,0.0,0.0,0.0,0.0,1.0,1.0
data scientist,Senior,Huge company,Company - Public,Financial and housing services,$10+ billion (USD),Southern,120156.0,108.0,1.0,0.0,0.0,0.0,0.0,1.0
data scientist,mid,Large company,Other institutions,Financial and housing services,$100 million to $1 billion (USD),Remote,134898.0,65.0,1.0,0.0,0.0,0.0,1.0,1.0
data scientist,Senior,Huge company,Other institutions,Healthcare,$1 to $10 billion (USD),Western,105000.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0
data scientist,Senior,Small company,Company - Private,IT and Telecommunications,Less than $5 million (USD),Remote,185000.0,10.0,1.0,1.0,0.0,0.0,1.0,1.0
data scientist,Senior,Large company,Company - Private,IT and Telecommunications,Unknown / Non-Applicable,Western,99218.0,49.7,1.0,0.0,0.0,0.0,0.0,0.0
data scientist,Senior,Small company,Company - Private,Business services,$5 to $100 million (USD),Southern,140000.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0
data scientist,mid,Small company,Company - Private,Other sectors,Less than $5 million (USD),Western,160000.0,17.5,1.0,0.0,1.0,1.0,0.0,1.0
data scientist,mid,Small company,Company - Private,Unknown,Unknown / Non-Applicable,Remote,115000.0,26.0,1.0,0.0,0.0,0.0,1.0,1.0
data scientist,Senior,Medium-sized company,Company - Private,IT and Telecommunications,$5 to $100 million (USD),Remote,166400.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0
data scientist,Senior,Small company,Company - Private,Financial and housing services,Less than $5 million (USD),Remote,149627.0,27.0,0.0,0.0,0.0,0.0,0.0,1.0
data scientist,mid,Huge company,Company - Public,IT and Telecommunications,$10+ billion (USD),Western,132791.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0
data scientist,Senior,Medium-sized company,Company - Private,Other sectors,Unknown / Non-Applicable,Western,170000.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0
data engineer,Senior,Unknown size,Company - Private,Business services,$5 to $100 million (USD),Remote,134321.0,93.9,1.0,0.0,1.0,1.0,1.0,1.0
data scientist,Senior,Large company,Company - Private,Media and Entertaiment,Unknown / Non-Applicable,Remote,116987.0,12.0,1.0,0.0,0.0,1.0,0.0,1.0
data scientist,mid,Medium-sized company,Company - Private,IT and Telecommunications,$5 to $100 million (USD),Western,113641.0,43.0,1.0,0.0,1.0,0.0,0.0,0.0
data scientist,Senior,Huge company,Company - Public,Industry,$10+ billion (USD),Midwestern,125000.0,44.7,1.0,0.0,0.0,0.0,0.0,0.0
data scientist,Senior,Small company,Company - Public,Healthcare,Unknown / Non-Applicable,Remote,92169.0,10.0,1.0,1.0,0.0,1.0,0.0,0.0
data scientist,mid,Medium-sized company,Company - Public,IT and Telecommunications,Unknown / Non-Applicable,Southern,96278.0,61.0,1.0,0.0,0.0,0.0,0.0,1.0
data scientist,junior,Large company,Company - Private,Business services,$100 million to $1 billion (USD),Southern,94485.0,85.0,1.0,0.0,0.0,0.0,0.0,1.0
data scientist,mid,Large company,Company - Private,Other sectors,$5 to $100 million (USD),Midwestern,127500.0,172.0,1.0,0.0,0.0,0.0,1.0,1.0
data scientist,Senior,Huge company,Company - Public,Financial and housing services,$10+ billion (USD),Northeastern,94113.0,53.0,1.0,0.0,0.0,0.0,0.0,0.0
data scientist,Senior,Huge company,Company - Public,Other sectors,$10+ billion (USD),Southern,140000.0,13.4,1.0,0.0,0.0,0.0,1.0,1.0
data scientist,mid,Small company,Company - Public,Unknown,Unknown / Non-Applicable,Remote,56280.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0
data scientist,mid,Large company,Other institutions,Financial and housing services,$100 million to $1 billion (USD),Western,127500.0,172.0,1.0,0.0,0.0,0.0,1.0,1.0
data scientist,Senior,Huge company,Company - Public,Financial and housing services,$10+ billion (USD),Northeastern,131287.0,86.0,1.0,0.0,0.0,0.0,1.0,1.0
data scientist,Senior,Large company,Other institutions,Other sectors,Unknown / Non-Applicable,Western,98694.0,40.0,0.0,0.0,0.0,0.0,1.0,0.0
data scientist,Senior,Large company,Company - Private,Financial and housing services,$5 to $100 million (USD),Northeastern,125000.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
data scientist,Senior,Medium-sized company,Company - Private,IT and Telecommunications,Unknown / Non-Applicable,Remote,70000.0,48.0,1.0,0.0,0.0,1.0,0.0,1.0
data scientist,Senior,Medium-sized company,Company - Private,Other sectors,$5 to $100 million (USD),Western,113885.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0
data scientist,Senior,Medium-sized company,Company - Private,Healthcare,$100 million to $1 billion (USD),Western,134163.0,7.0,1.0,0.0,0.0,1.0,1.0,1.0
data scientist,Senior,Small company,Company - Private,Industry,Unknown / Non-Applicable,Western,92500.0,173.0,1.0,0.0,1.0,1.0,1.0,1.0
data scientist,Senior,Huge company,Company - Public,Financial and housing services,$1 to $10 billion (USD),Remote,115000.0,71.1,1.0,0.0,0.0,0.0,0.0,0.0
data scientist,mid,Unknown size,Company - Public,Unknown,Unknown / Non-Applicable,Remote,110963.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0
data scientist,Senior,Huge company,Company - Public,Other sectors,Unknown / Non-Applicable,Midwestern,99003.0,125.0,1.0,1.0,1.0,1.0,1.0,1.0
data scientist,Senior,Huge company,Company - Public,Industry,$10+ billion (USD),Northeastern,176634.0,11.1,1.0,1.0,0.0,0.0,0.0,1.0
data scientist,Senior,Medium-sized company,Company - Private,Unknown,Unknown / Non-Applicable,Remote,126425.0,86.7,1.0,0.0,0.0,0.0,0.0,1.0
data scientist,Senior,Unknown size,Company - Private,Unknown,Unknown / Non-Applicable,Northeastern,80947.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0
data scientist,junior,Small company,Other institutions,Other sectors,$5 to $100 million (USD),Southern,125000.0,10.0,1.0,1.0,0.0,0.0,0.0,1.0
data scientist,Senior,Large company,Company - Private,IT and Telecommunications,Unknown / Non-Applicable,Western,103789.0,64.7,1.0,0.0,0.0,0.0,0.0,0.0
data scientist,junior,Unknown size,Company - Public,Unknown,Unknown / Non-Applicable,Southern,120000.0,17.0,1.0,0.0,0.0,0.0,1.0,1.0
data analyst,Senior,Small company,Company - Private,Business services,Less than $5 million (USD),Western,94000.0,48.7,1.0,0.0,0.0,0.0,1.0,0.0
data scientist,mid,Unknown size,Company - Public,Unknown,Unknown / Non-Applicable,Western,105654.0,120.0,0.0,0.0,1.0,1.0,1.0,1.0
data scientist,Senior,Huge company,Company - Public,Industry,$10+ billion (USD),Midwestern,155000.0,11.0,1.0,0.0,0.0,0.0,1.0,1.0
data scientist,Senior,Small company,Company - Private,Unknown,Unknown / Non-Applicable,Remote,180000.0,29.0,1.0,1.0,0.0,1.0,0.0,1.0
data scientist,Senior,Small company,Company - Private,Other sectors,Less than $5 million (USD),Remote,109837.0,24.0,1.0,0.0,0.0,0.0,0.0,1.0
data scientist,Senior,Huge company,Company - Public,IT and Telecommunications,$10+ billion (USD),Midwestern,102817.0,108.0,1.0,0.0,0.0,0.0,1.0,1.0
data scientist,junior,Huge company,Company - Public,Business services,$1 to $10 billion (USD),Southern,150200.0,23.0,1.0,1.0,0.0,0.0,0.0,1.0
data scientist,mid,Huge company,Company - Public,IT and Telecommunications,$10+ billion (USD),Remote,93901.0,42.0,1.0,0.0,0.0,0.0,1.0,1.0
data scientist,Senior,Huge company,Company - Public,Healthcare,$10+ billion (USD),Western,113710.0,28.0,1.0,0.0,0.0,0.0,1.0,1.0
data scientist,mid,Huge company,Company - Public,IT and Telecommunications,$10+ billion (USD),Northeastern,114768.0,111.0,1.0,0.0,1.0,1.0,0.0,1.0
